,0
0,256000
1,192000
2,128000
3,287639
4,282817
5,320000
6,197144
7,190365
8,160000
9,190833
10,219522
11,112000
12,64000
13,297275
14,176688
15,197521
16,174432
17,172816
18,194715
19,181440
20,117808
21,179580
22,193503
23,132658
24,178945
25,106362
26,165836
27,139228
28,173862
29,130005
30,156114
31,115772
32,190818
33,129526
34,162620
35,179491
36,163935
37,138440
38,199355
39,156481
40,123776
41,170276
42,170091
43,157232
44,168332
45,203233
46,130109
47,180969
48,168211
49,166482
50,186521
51,172697
52,167226
53,182956
54,190038
55,176396
56,183669
57,169446
58,186159
59,173118
60,153128
61,175105
62,148295
63,164644
64,176662
65,164578
66,122417
67,149824
68,178272
69,151828
70,192202
71,153201
72,193628
73,168715
74,174524
75,158510
76,190011
77,197019
78,203981
79,160750
80,181309
81,185908
82,183386
83,156700
84,172966
85,160971
86,176295
87,277548
88,277255
89,289594
90,285245
91,266659
92,259983
93,258276
94,192665
95,191835
96,192556
97,192707
98,192679
99,192156
100,193102
101,192053
102,192427
103,200844
104,212936
105,199436
106,200807
107,188041
108,192924
109,209413
110,201871
111,209965
112,209580
113,129307
114,96000
115,169553
116,166160
117,162740
118,161347
119,119997
120,122892
121,121358
122,120916
123,122584
124,216190
125,203849
126,214377
127,319618
128,185135
129,224000
130,262973
131,-1
132,280092
133,263348
134,266616
135,266769
136,263546
137,261258
138,266947
139,266148
140,266175
141,267568
142,259117
143,266738
144,265935
145,266797
146,267383
147,266341
148,263413
149,192872
150,242240
151,277437
152,258969
153,190594
154,238570
155,32000
156,152518
157,142903
158,260898
159,261198
160,262091
161,268929
162,260362
163,265776
164,269527
165,264020
166,257884
167,265953
168,114298
169,178984
170,172123
171,156957
172,198950
173,218052
174,258130
175,263860
176,257834
177,257733
178,256354
179,256799
180,261021
181,259141
182,257605
183,161326
184,170784
185,166654
186,192
187,265049
188,268295
189,259780
190,261914
191,259873
192,258616
193,258971
194,259191
195,271968
196,261973
197,263849
198,264240
199,262509
200,263280
201,264468
202,264718
203,261553
204,260563
205,262608
206,264711
207,229218
208,293306
209,216458
210,223058
211,280714
212,255739
213,242690
214,245094
215,169678
216,214812
217,236384
218,248630
219,283133
220,259949
221,261213
222,264414
223,257194
224,262496
225,259474
226,264062
227,260885
228,266206
229,257180
230,257024
231,256637
232,267672
233,257327
234,257445
235,257297
236,257235
237,256652
238,256672
239,256358
240,256313
241,257207
242,256379
243,256369
244,256612
245,256685
246,256314
247,256493
248,260334
249,256948
250,256166
251,262940
252,270982
253,267137
254,263943
255,264329
256,263255
257,265942
258,262503
259,263112
260,260478
261,262691
262,263456
263,265354
264,261127
265,265331
266,263395
267,263093
268,265689
269,266813
270,262123
271,166372
272,172655
273,270132
274,256665
275,255904
276,257614
277,266125
278,124090
279,84967
280,138687
281,118825
282,131062
283,114287
284,144231
285,87873
286,138962
287,116765
288,122327
289,95126
290,112438
291,111184
292,137942
293,146672
294,129280
295,184072
296,175831
297,185524
298,182318
299,183124
300,180930
301,188135
302,160222
303,216399
304,210823
305,203922
306,209267
307,213222
308,213427
309,208932
310,214442
311,192908
312,80000
313,130954
314,133534
315,131550
316,244827
317,237633
318,258308
319,244999
320,261807
321,247884
322,243694
323,231159
324,217329
325,257778
326,252407
327,259697
328,246864
329,246634
330,247613
331,237416
332,212375
333,255046
334,250085
335,259447
336,227710
337,280892
338,296427
339,291182
340,286642
341,293163
342,296357
343,293425
344,298490
345,293254
346,285081
347,286336
348,294239
349,294271
350,286988
351,293237
352,273064
353,279073
354,278674
355,289382
356,125615
357,188556
358,200598
359,144179
360,130809
361,199686
362,180390
363,200637
364,181913
365,129302
